cod_municipality;name_municipality;population_2018;lat;lon
28109;Pelayos de la Presa;2475;"	40,3640815552639";-4,32268025090
28110;Perales de Tajuña;2831;"	40,2304872804066";-3,35835656200
28111;Pezuela de las Torres;821;"	40,4044716362477";-3,17614481600
28112;Pinilla del Valle;187;"	40,9411659895241";-3,83381427280
28113;Pinto;51541;"	40,2589448043895";-3,68321309630
28114;Piñuécar-Gandullas;171;"	41,0357427781652";-3,59780499550
28115;Pozuelo de Alarcón;86172;"	40,4300398736521";-3,81650091630
28116;Pozuelo del Rey;1120;"	40,3645406971393";-3,30568753240
28117;Prádena del Rincón;117;"	41,0433474038297";-3,52338253130
28118;Puebla de la Sierra;60;"	40,9956961241862";-3,46644767520
28902;Puentes Viejas;642;"	40,9696352693877";-3,56046587970
28119;Quijorna;3357;"	40,415400556037";-4,05938009261
28120;Rascafría;1663;"	40,8621086107951";-3,90268349080
28121;Redueña;247;"	40,8144018627811";-3,59184954570
28122;Ribatejada;706;"	40,6669157994398";-3,42255791970
28123;Rivas-Vaciamadrid;85893;"	40,3510851699509";-3,51701238250
28124;Robledillo de la Jara;87;"	40,949178476438";-3,52977484618
28125;Robledo de Chavela;4159;40,49110893382;-4,23744372200
28126;Robregordo;48;"	41,1217240545633";-3,60291557040
28127;Rozas de Madrid, Las;95550;"	40,5267256637762";-3,90300210640
28128;Rozas de Puerto Real;527;40,30506115086;-4,51167438850
28129;San Agustín del Guadalix;13273;"	40,6896589722037";-3,63021362580
28130;San Fernando de Henares;39466;"	40,4377562334485";-3,48908794980
28131;San Lorenzo de El Escorial;18088;40,60994684122;-4,12663914510
28132;San Martín de la Vega;18784;40,24713495102;-3,55314111440
28133;San Martín de Valdeiglesias;8318;"	40,3623132356877";-4,34393190180
28134;San Sebastián de los Reyes;87724;"	40,5794445810967";-3,59417172750
28135;Santa María de la Alameda;1182;40,59133223873;-4,24784882950
28136;Santorcaz;850;"	40,4716326355158";-3,23435783380
28137;Santos de la Humosa, Los;2542;"	40,513136433463";-3,28234886052
28138;Serna del Monte, La;74;"	41,0393694321045";-3,62073454530
28140;Serranillos del Valle;4066;"	40,2062028689969";-3,90850516470
28141;Sevilla la Nueva;9095;"	40,3581069365978";-4,04281815430
28143;Somosierra;80;"	41,1397101420184";-3,57796920850
28144;Soto del Real;8694;"	40,7513166122883";-3,78649244460
28145;Talamanca de Jarama;3725;"	40,7435014432052";-3,48846289680
28146;Tielmes;2604;"	40,2358716005861";-3,30070765790
28147;Titulcia;1304;"	40,1483329604696";-3,56103204120
28148;Torrejón de Ardoz;129729;"	40,4674649068402";-3,45804565110
28149;Torrejón de la Calzada;8582;"	40,2036000357732";-3,79607417520
28150;Torrejón de Velasco;4298;"	40,1780891144952";-3,74984206530
28151;Torrelaguna;4724;"	40,8215768860651";-3,54252608650
28152;Torrelodones;23361;"	40,5667584275129";-3,92809266300
28153;Torremocha de Jarama;975;40,83613652334;-3,50062873020
28154;Torres de la Alameda;7760;40,42141253290;-3,37249533460
28903;Tres Cantos;46750;"	40,426175";-3,68514400000
28155;Valdaracete;626;40,19718653843;-3,20258572910
28156;Valdeavero;1510;40,62811858236;-3,34998640190
28157;Valdelaguna;903;40,17736688937;-3,37225428740
28158;Valdemanco;927;"	40,8603849213544";-3,66321557430
28159;Valdemaqueda;761;"	40,5060958319637";-4,29601450610
28160;Valdemorillo;12280;"	40,5064327180077";-4,06059124080
28161;Valdemoro;74745;"	40,1807566367294";-3,64978252500
28162;Valdeolmos-Alalpardo;4039;"	40,6384208139889";-3,46148251340
28163;Valdepiélagos;574;"	40,7574711588";-3,46392667282
28164;Valdetorres de Jarama;4384;"	40,6933798055353";-3,51752719560
28165;Valdilecha;2840;"	40,2947473516736";-3,29716812570
28166;Valverde de Alcalá;432;"	40,4090604290158";-3,29984269960
28167;Velilla de San Antonio;12193;"	40,3651589276275";-3,47934569490
28168;Vellón, El;1942;"	40,7696292590263";-3,55808853760
28169;Venturada;2081;"	40,7994087718803";-3,62026424810
28171;Villa del Prado;6409;"	40,269153264963";-4,30459675038
28170;Villaconejos;3363;"	40,1173113015695";-3,49014172310
28172;Villalbilla;13421;"	40,449756181695";-3,34516621063
28173;Villamanrique de Tajo;699;"	40,0702721204141";-3,24308141050
28174;Villamanta;2501;"	40,3001700345621";-4,12162041490
28175;Villamantilla;1420;"	40,3411026390635";-4,13988703750
28176;Villanueva de la Cañada;21000;"	40,4500562339441";-3,98343714150
28178;Villanueva de Perales;1547;"	40,3745819269117";-4,08262145340
28177;Villanueva del Pardillo;17127;"	40,4910595013115";-3,96849363860
28179;Villar del Olmo;1967;"	40,3341448835656";-3,23687997290
28180;Villarejo de Salvanés;7291;"	40,1184071263897";-3,26941424100
28181;Villaviciosa de Odón;27596;"	40,3593642874759";-3,91422271720
28182;Villavieja del Lozoya;258;"	41,0230221203671";-3,68806691950
28183;Zarzalejo;1620;"	40,5449968240231";-4,17091395010
28 Ma;rid;6578079;;
