Número de secuencia;Tipo de distinción;Órgano competente;Apellidos y nombre / Institución;Profesión / Actividad;Fecha de concesión;Fecha de entrega
811;Medalla de Madrid Oro (1961);Pleno (mayoría simple);Mihura Santos, Miguel;Escritor y autor teatral;29/11/1978;
812;Medalla de Madrid Oro (1961);Pleno (mayoría simple);Esplandiú Peña, Juan;Pintor y dibujante;31/01/1979;
813;Medalla de Madrid Oro (1961);Pleno (mayoría simple);Alonso y Fernández de las Redondas, Dámaso;Literato y filólogo;14/02/1979;
814;Medalla de Madrid Oro (1961);Pleno (mayoría simple);Subirá Puig, José;Musicólogo;27/07/1979;
815;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Moreno Torroba, Federico;Compositor;26/03/1982;28/05/1982
816;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Iglesias Sánchez, Álvaro ;;30/04/1982;
817;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Alberti, Rafael;Poeta y dramaturgo;10/12/1982;
818;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Diego Cendoya, Gerardo;Poeta y Escritor;25/02/1983;
819;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Aleixandre, Vicente;Poeta ;25/02/1983;
820;Medalla de Madrid Oro (1982);Pleno (mayoría simple);De Borbón y Battenberg, Juan;;06/04/1983;30/06/1983
821;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Sánchez Portela, Alfonso;Fotógrafo y reportero gráfico;27/07/1984;
822;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Castroviejo Briones, Ramón;Oftalmólogo profesor;29/11/1984;
823;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Barcina Tort, Pedro;Funcionario;27/12/1985;
824;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Cela, Camilo José;Escritor;30/10/1986;19/12/1986
825;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Pinillos Díaz, José Luis;Catedrático de Psicología;30/10/1986;19/12/1986
826;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Cámara Oficial de Comercio e Industria de Madrid;;30/04/1987;
827;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Enrique y Tarancón, Vicente ;Sacerdote;26/11/1987;
828;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Unión General de Trabajadores;;29/07/1988;
829;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Amón, Santigo;Escritor - periodista;29/07/1988;
830;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Muñoz Revenga, Alejandro;;28/04/1989;
831;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Rodríguez de la Fuente, Félix;Naturalista;29/03/1990;05/12/1990
832;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Roa García, Teodoro;Operador de cámara;29/03/1990;05/12/1990
833;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Mariano Huéscar, Alberto;Operador de cámara;29/03/1990;05/12/1990
834;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Alonso Mañes, José Luis;Director teatral;30/10/1990;05/12/1990
835;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Rodrigo Vidre, Joaquín;Compositor;30/11/1990;31/05/1993
836;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Colegio Nuestra Señora de las Maravillas;;29/01/1993;
837;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Wojtyla, Karol Józef;;27/05/1993;
838;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Universidad Complutense;;27/05/1993;
839;Medalla de Madrid Oro (1982);Pleno (mayoría simple);García Nieto, José ;Académico, escritor y poeta;27/05/1993;31/05/1993
840;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Muñoz Castellanos, Arturo;Militar;27/05/1993;31/05/1993
841;Medalla de Madrid Oro (1982);Pleno (mayoría simple);López Sancho, Lorenzo;Periodista, columnista y crítico de teatro;25/02/1994;14/07/1994
842;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Institución de la Guardia Civil;;29/04/1994;14/07/1994
843;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Trueba, Fernando;Director de cine;26/05/1994;09/09/1994
844;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Garci, José Luis;Director de cine;26/05/1994;09/09/1994
845;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Delgado Ramos, Álvaro;Pintor y académico de número;24/02/1995;
846;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Mingote Barrachina, Antonio;Dibujante, humorista y novelista;25/09/1995;01/11/1996
847;Medalla de Madrid Oro (1982);Pleno (mayoría simple);García Gómez, Emilio;Arabista e historiador;25/09/1995;11/11/1996
848;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Suárez González, Adolfo ;;30/11/1995;10/11/1998
849;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Ateneo Científico, Literario y Artístico de Madrid;;29/03/1996;11/11/1996
850;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Sampedro Sáez,  José Luis ; Escritor;26/04/1996;11/11/1996
851;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Colegio de Abogados de Madrid;;31/10/1996;11/11/1996
852;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Ruiz-Giménez Cortés, Joaquín;Abogado, catedrático y Presidente de UNICEF;31/10/1996;11/11/1996
853;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Laín Entralgo, Pedro;Catedrático y escritor;21/03/1997;10/11/1998
854;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Domingo Embil, Plácido;Tenor;26/09/1997;11/05/2001
855;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Berganza, Teresa;Mezzosoprano;26/09/1997;10/11/1998
856;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Garrigues Díaz-Cañabate, Antonio;Jurista y diplomático;31/10/1997;10/11/1998
857;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Buero Vallejo, Antonio ;Escritor;30/11/1998;08/06/2000
858;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Cisneros Laborda, Gabriel;;30/11/1998;26/03/2001
859;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Fraga Iribarne, Manuel ;;30/11/1998;26/03/2001
860;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Herrero y Rodríguez de Miñón, Miguel ;;30/11/1998;26/03/2001
861;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Peces-Barba Martínez, Gregorio ;;30/11/1998;26/03/2001
862;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Pérez Llorca y Rodrigo, José Pedro ;;30/11/1998;26/03/2001
863;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Roca i Junyent, Miguel ;;30/11/1998;26/03/2001
864;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Solé Tura, Jordi ;;30/11/1998;
865;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Fernández-Sánchez Leblanc, Ignacio;Artista;24/02/2000;
866;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Carmen Martín Gaite. ;Escritora;24/02/2000;08/06/2000
867;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Moreno González, Enrique ;Médico y catedrático;24/02/2000;08/06/2000
868;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Congregación Salesiana de Madrid;;24/02/2000;08/06/2000
869;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Instituto de Estudios Madrileños;;22/11/2001;23/05/2002
870;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Hierro del Real, José ;Poeta;21/02/2002;23/05/2002
871;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Ortega Spottorno, José ;Editor;21/03/2002;23/05/2002
872;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Residencia de Estudiantes;;25/04/2002;27/11/2002
873;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Círculo de Bellas Artes;;25/04/2002;27/11/2002
874;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Casino de Madrid;;30/01/2003;
875;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Club Atlético de Madrid;;30/01/2003;
876;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Real Automóvil Club de España ;;30/04/2003;
877;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Samaranch i Torelló, Juan Antonio ;;28/04/2005;15/03/2006
878;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Consejo General del Poder Judicial;;29/11/2005;15/05/2006
879;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Fundación Juan March;;29/11/2005;15/05/2006
880;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Piera Jiménez, Adrián ;Empresario;30/04/2007;15/05/2007
881;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Nadal Parera, Rafael ;Deportista;30/04/2007;15/05/2007
882;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Castro López, Prisciliano ;;30/04/2007;15/05/2007
883;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Ibermúsica;;30/04/2008;15/05/2008
884;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Fundación Germán Sánchez Ruipérez;;30/04/2008;15/05/2008
885;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Di Stefano Laulhé, Alfredo ;Deportista;30/04/2008;15/05/2008
886;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Landa Areitio, Alfredo;Actor;30/04/2008;15/05/2008
887;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Román Martín, José Tomás ;Torero;31/03/2009;15/05/2009
888;Medalla de Madrid Oro (1982);Pleno (mayoría simple);González Blanco, Raúl ;Futbolista;31/03/2009;15/05/2009
889;Medalla de Madrid Oro (1982);Pleno (mayoría simple);O'Shea Artiñano, Paloma ;Pianista;31/03/2009;15/05/2009
890;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Sabina, Joaquín ;Compositor, cantante y poeta;31/03/2009;15/05/2009
891;Medalla de Madrid Oro (1982);Pleno (mayoría simple);López García, Antonio ;Pintor y escultor;28/04/2010;15/05/2010
892;Medalla de Madrid Oro (1982);Pleno (mayoría simple);María Luz Casal Paz. ;Cantante;28/04/2010;15/05/2010
893;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Caja de Ahorros y Monte de Piedad de Madrid ;;28/04/2010;15/05/2010
894;Medalla de Madrid Oro (1982);Pleno (mayoría simple);González Márquez,  Felipe ;;30/03/2011;15/05/2011
895;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Aznar López, José María ;;30/03/2011;15/05/2011
896;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Amenábar, Alejandro ;Director de cine;25/04/2012;15/05/2012
897;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Garralda Barretto, Jaime;Jesuita;25/04/2012;15/05/2012
898;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Organización Nacional de Ciegos Españoles;;26/03/2013;15/05/2013
899;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Cortes Constituyentes;;26/03/2013;15/05/2013
900;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Lorenzo García, Soledad;Galerista de arte;26/03/2013;15/05/2013
901;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Del Bosque González, Vicente;Jugador y entrenador de futbol;29/04/2014;15/05/2014
902;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Matasanz Acedos, Rafael;Médico;29/04/2014;15/05/2014
903;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Cáritas-Madrid;;29/04/2014;15/05/2014
904;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Fundación José Ortega y Gasset  -  Gregorio Marañón;;29/04/2014;15/05/2014
905;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Coleccionistas y Mecenas del Arte;;28/04/2015;15/05/2015
906;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Gastronomía madrileña;;28/04/2015;15/05/2015
907;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Guillén García, Pedro;Médico;28/04/2015;15/05/2015
908;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Real Academia Española;;28/04/2015;15/05/2015
909;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Sanz Briz, Ángel;Diplomático;27/04/2016;15/05/2016
910;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Figuera Álvarez, Diego;Psiquiatra y psicoterapeuta;27/04/2016;15/05/2016
911;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Madres contra la Droga;;27/04/2016;15/05/2016
912;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Voluntarios por Madrid;;27/04/2016;15/05/2016
913;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Federación de Entidades y Centros para la Integración y Ayuda a Marginados (FACIAM);;26/04/2017;15/05/2017
914;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Fernández López, Javier;Patinador;26/04/2017;15/05/2017
915;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Machi Arroyo, Carmen;Actriz;26/04/2017;15/05/2017
916;Medalla de Madrid Oro (1982);Pleno (mayoría simple);Mercado Ruiz, Rosendo;Cantante;26/04/2017;15/05/2017
917;Medalla de Madrid Oro (funcionarios 1982);Pleno (mayoría simple);González Jiménez, Felix;Funcionario - Bombero;30/05/1986;
918;Medalla de Madrid Oro (funcionarios 1982);Pleno (mayoría simple);Juárez del Dago, Amando;Funcionario - Bombero;25/09/1987;
919;Medalla de Madrid Oro (funcionarios 1982);Pleno (mayoría simple);Azuara Albarracín, Miguel;Funcionario - Bombero;25/09/1987;
920;Medalla de Madrid Oro (funcionarios 1982);Pleno (mayoría simple);Escalera Suárez, Juan Antonio;Funcionario - Bombero;25/09/1987;
921;Medalla de Madrid Oro (funcionarios 1982);Pleno (mayoría simple);Plaza Castilla, Franciso;Funcionario - Bombero;25/09/1987;
922;Medalla de Madrid Oro (funcionarios 1982);Pleno (mayoría simple);García Martín, Manuel;Funcionario - Bombero;25/09/1987;
923;Medalla de Madrid Oro (funcionarios 1982);Pleno (mayoría simple);González Soto, Ángel;Funcionario - Bombero;25/09/1987;
924;Medalla de Madrid Oro (funcionarios 1982);Pleno (mayoría simple);Gómez Magro, Juan José;Funcionario - Bombero;25/09/1987;
925;Medalla de Madrid Oro (funcionarios 1982);Pleno (mayoría simple);Molina Ríos, Manuel;Funcionario - Bombero;25/09/1987;
926;Medalla de Madrid Oro (funcionarios 1982);Pleno (mayoría simple);Onrubia Varona, Julio;Funcionario - Bombero;25/09/1987;
927;Medalla de Madrid Oro (funcionarios 1982);Pleno (mayoría simple);Madueño Suárez, Francisco;Funcionario - Bombero;25/09/1987;
928;Medalla de Madrid Oro (funcionarios 1982);Pleno (mayoría simple);Cañadas Herranz, Juan;Funcionario - Policía Municipal ;30/10/1987;
929;Medalla de Madrid Oro (funcionarios 1982);Pleno (mayoría simple);Toledano Plaza, José Luis;Funcionario - Policía Municipal;27/01/1989;
930;Medalla de Madrid Oro (funcionarios 1982);Pleno (mayoría simple);Pineda Gómez, Ángel Antonio;Funcionario - Policía Municipal;27/09/1990;
931;Medalla de Madrid Oro (funcionarios 1982);Pleno (mayoría simple);Montoro Ruiz, María José;Funcionaria;30/11/2000;
932;Medalla de Madrid Oro (funcionarios 1982);Pleno (mayoría simple);Cabanillas Caja, Francisco;Funcionario;21/06/2001;
933;Medalla de Madrid Oro (funcionarios 1982);Pleno (mayoría simple);Martín Sánchez, Francisco José ;Funcionario;20/12/2001;
934;Medalla de Madrid Oro (funcionarios 1982);Pleno (mayoría simple);Diario ABC;;30/01/2003;
935;Medalla de Madrid Oro (1961);Pleno (mayoría absoluta);Velasco Varona, Concepción;Actriz;24/04/2018;15/05/2018
936;Medalla de Madrid Oro (1961);Pleno (mayoría absoluta);García Armada, Elena;Ingeniera Industrial;24/04/2018;15/05/2018
937;Medalla de Madrid Oro (1961);Pleno (mayoría absoluta);García Rodrigo, Boti;Activista LGTB;24/04/2018;15/05/2018
938;Medalla de Madrid Oro (1961);Pleno (mayoría absoluta);Equipo de Hockey Femenino Club de Campo;Deportistas;24/04/2018;15/05/2018
939;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Espinós Moltó, Victor ;Escritor y académico;22/02/1945;
940;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Paz Maroto, José;Funcionario;11/10/1945;
941;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Blein Zaragoza, Gaspar;Funcionario;11/10/1945;
942;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Rodríguez Cuevas, Cecilio;Funcionario;11/10/1945;
943;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Varela Hervias, Eulogio;Funcionario;11/10/1945;
944;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Llovet, Andrés;Funcionario;11/10/1945;
945;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Herrero, Dionisio;Funcionario;11/10/1945;
946;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Torres Canal, Lucas;Funcionario;11/10/1945;
947;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Rincón Lazcano, José;Funcionario;11/10/1945;
948;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Matallanos Picas, Francisco;Funcionario;11/10/1945;
949;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Bellido, Luis;Funcionario jubilado;11/10/1945;
950;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Machado, Manuel;Funcionario jubilado;11/10/1945;
951;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Pérez Chozas, Angel;Funcionario jubilado;11/10/1945;
952;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Tercero, Manuel;Redactor ABC;11/10/1945;
953;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Gabasa Añoro, Ignacio;;11/10/1945;
954;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Casuso Obeso, José;Funcionario;11/10/1945;
955;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Velasco Zazo, Antonio;Escritor;11/10/1945;
956;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Sarasola Arbide, Francisco;Funcionario;11/10/1945;
957;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);García Cortés, Mariano;Escritor;27/12/1945;
958;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Gómez de la Serna, Ramón;Escritor;27/12/1945;
959;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Hijas de la Caridad de San Vicente de Paúl;;27/12/1945;
960;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Galván, Francisco;Abogado;27/12/1945;
961;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Hermandad del Refugio y Piedad de Madrid;;27/12/1945;
962;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Real Sociedad Económica Matritense de Amigos del País;;27/12/1945;
963;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Asociación Matritense de Caridad;;27/12/1945;
964;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Hermanitas de los Pobres de la calle Almagro;;27/12/1945;
965;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Hermanos de San Juan de Dios del Asilo de San Rafael;;27/12/1945;
966;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Alcántara, Jacinto;;27/12/1945;
967;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Castell, Sor Eulalia;;11/02/1946;
968;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Viala Rubio, Enrique;Militar;11/02/1946;
969;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Escobedo Gorostizaga, Gerardo;;11/02/1946;
970;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Otamendi Machimbarrena, Miguel;Ingeniero de Caminos;10/05/1946;
971;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Mendoza y Sáez de Argandoña, Carlos;Ingeniero de caminos ;10/05/1946;
972;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Caja de Ahorros y Monte de Piedad de Madrid;;10/10/1946;
973;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Orfeón Donostiarra;;09/05/1947;
974;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Cabeza Díaz Valero, Laureano;Funcionario;09/05/1947;
975;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Ortiz Corral, Cayetano;Profesor;23/07/1947;
976;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Bernabéu de Yeste, Santiago;;31/12/1947;
977;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Rodríguez de Rivera, Fernando;;31/12/1947;
978;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Rincón Lazcano, Asunción;Maestra;16/04/1948;
979;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Velasco Pajares, José;Funcionario;16/07/1948;
980;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Chicote del Riego, César;Funcionario;20/09/1948;
981;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Carrillo Guerrero, Francisco;Maestro;29/07/1949;
982;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Pelegrín Medina, Antonio;Funcionario;20/10/1949;
983;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Baztán Vergara, Francisco;Funcionario;03/03/1950;
984;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Ortiz de Pinedo, José;Funcionario;12/05/1950;
985;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Barrilero Deleyto, José;Maestro jubilado;14/07/1950;
986;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Cea Montenegro, José;Funcionario;01/12/1950;
987;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);de Urquijo Landecho, Luis;Banquero y musicólogo;08/06/1951;
988;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);García Muñoz, Gervasio;Sacerdote;08/06/1951;
989;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Ortega Lissón, Rafael;periodista;31/10/1951;
990;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Zubiri del Pozo, Milagros;Maestra municipal;31/10/1951;
991;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Pastor Durán, Vicente;Matador de Toros;31/10/1952;
992;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);de Górgolas y Urdampilleta, Pedro;Funcionario;28/11/1952;
993;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);De Roda Jiménez, Eduardo;Funcionario;31/12/1952;
994;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Maceres Fernández, Rafael;funcionario;29/04/1953;
995;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Instituto de Hermanos Maristas;;29/04/1953;
996;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Martín Domingo, José María;Músico;29/04/1953;
997;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Sor Trinidad González;Monja;26/06/1953;
998;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Martínez Serrano, Fernando;;26/03/1954;
999;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Orquesta Sinfónica de Madrid (Orquesta Arbós);;26/03/1954;
1000;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Reverendo Hermano Ceferino;;30/04/1954;
1001;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Domínguez Quintana, Timoteo;;14/05/1954;
1002;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Remón López, Mariano;;14/05/1954;
1003;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);de la Peña Hernández, Leonardo;;14/05/1954;
1004;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Hernández Benito, Regino;;14/05/1954;
1005;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Pérez Gallego, Pedro;;14/05/1954;
1006;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Morral Novillo, Desiderio;;14/05/1954;
1007;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Juncos Díaz, Carlos;;14/05/1954;
1008;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);González García, Gerardo;;14/05/1954;
1009;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Díaz del Villar y de la Gala, Francisco;Funcionario;28/05/1954;
1010;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Soria, Luis ;Sacerdote;25/06/1954;
1011;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Allas Arnaiz, Julián Arturo;Funcionario;26/11/1954;
1012;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Mira Velasco, Albina;;04/02/1955;
1013;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Galán Casariego, Manuel Antonio;Funcionario;25/02/1955;
1014;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Nuñez, Pedro Leopoldo;;27/05/1955;13/06/1955
1015;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Camacho, Ruperto;;27/05/1955;13/06/1955
1016;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Hidalgo Maldonado, Reinaldo;;27/05/1955;13/06/1955
1017;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Alcalde Presidente del Municipio de Guayaquil (Ecuador);;27/05/1955;13/06/1955
1018;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Descalzi Mendoza, Otilio;;27/05/1955;13/06/1955
1019;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Alcalde Presidente del Municipio de Riobamba (Ecuador);;27/05/1955;13/06/1955
1020;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Haro, Clemente;;27/05/1955;13/06/1955
1021;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Navarro, José Gabriel;;27/05/1955;13/06/1955
1022;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);López López, Roberto;;27/05/1955;13/06/1955
1023;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Romeo, Aurora;;27/05/1955;13/06/1955
1024;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Ávila, Julio Enrique;;27/05/1955;13/06/1955
1025;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Presidente del Municipio de Los Ángeles (Estados Unidos);;27/05/1955;13/06/1955
1026;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Carreón, Reynaldo J.;;27/05/1955;13/06/1955
1027;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Alcalde Presidente del Municipio de Popayán (Colombia);;27/05/1955;13/06/1955
1028;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Presidente del Municipio de San Diego (Estados Unidos);;27/05/1955;13/06/1955
1029;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Magriñán, Jaime;;27/05/1955;13/06/1955
1030;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Carranza, Eduardo;;27/05/1955;13/06/1955
1031;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Obregón, Gregorio;;27/05/1955;13/06/1955
1032;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Hernández Vindas, Lizanías;;27/05/1955;13/06/1955
1033;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Ortega Alvarado, Manuel Francisco;;27/05/1955;13/06/1955
